Team,,Result,Odds1,Odds2
Cloud9˜- Immortals,,1:00,-625,392
Evil Geniuses˜- Golden Guardians,,1:00,-417,293
FlyQuest eSports -˜Team Liquid,,0:01,353,-526
Immortals -˜Golden Guardians,,0:01,-167,127
Cloud9˜- Team SoloMid,,1:00,-233,174
100 Thieves˜- Counter Logic Gaming,,1:00,-357,254
Dignitas -˜Team Liquid,,0:01,442,-714
FlyQuest eSports -˜Evil Geniuses,,0:01,123,-161
Counter Logic Gaming -˜Dignitas,,0:01,-110,-118
Golden Guardians -˜Cloud9,,0:01,399,-625
Evil Geniuses -˜100 Thieves,,0:01,120,-154
Team Liquid -˜Immortals,,0:01,-909,520
Team SoloMid -˜FlyQuest eSports,,0:01,-189,145
